Title,Discipline,Article URL,PDF URL,Abstract
View of The Role of Social Media in Promoting Citizen Participation in Zimbabwe's Urban Local Authorities,Sociology,https://journals.unza.zm/index.php/JLSS/article/view/1203/883,https://journals.unza.zm/index.php/JLSS/article/download/1203/883,"ABSTRACT 
Social media is now widely used across the globe having the potential 
to enhance citizen participation in governance processes. Such platforms 
include Facebook, Twitter, and WhatsApp amongst others, to be interrogated 
in this study. The study sought to examine how these social media platforms 
can be used to enhance citizen participation in Zimbabwe’s urban local 
authorities using Bulawayo and Harare City Councils as case studies. The 
two local authorities have a huge footprint on social media. Theoretically, 
the study was informed by Arnstein’s ladder of participation to explore 
the use of social media in enhancing citizen participation. The researchers 
purposively and conveniently selected participants that included the 
residents, councillors and management. The researchers also reviewed and 
synthesised comments made on different social media accounts of the two 
cases. Data were analysed thematically where themes were established to 
deduce meaning guided by the research questions. Findings show that social 
media presents a huge potential if embraced to enhance citizen participation 
for it has a wider audience and also its ability to include young, people 
which is the larger population, using social media. Challenges associated 
with the use of social media were also established including the high cost 
of data in Zimbabwe. Also, these platforms do not go beyond the tokenism 
stage of the Arnstein ladder of Participation making them less effective. 
Lastly, recommendations are given on how to strengthen the use of social 
media in promoting citizen participation."
View of Municipal Solid Waste Management: An Assessment of the Management Framework In Zambia,Unclassified,https://journals.unza.zm/index.php/JLSS/article/view/1204/884,https://journals.unza.zm/index.php/JLSS/article/download/1204/884,"ABSTRACT
Governance mechanisms for Municipal Solid Waste (MSW) are critical to the 
sustainable management of waste for effective environmental management and 
public health. These mechanisms are dependent on management frameworks 
upon which they are based. This study aimed at assessing current frameworks 
for managing MSW in Zambia using a descriptive research design with 
a questionnaire being the data collection tool. Eighty purposively sampled 
respondents were administered and the tool had a 90 per cent response rate. 
Data analysis involved the use of frequency tables, percentages, bar, the mean, 
and standard deviation. The results were as follows; male respondents were 73 
per cent as compared to female respondents at 27 per cent,  respectively, while 
source of generation for residential areas was at 88 per cent. Public sector 
role in the governance of MWS 66.7 per cent, private sector (18.9%), NGOs 
(7.8%), with academia 2.2 per cent, others 4.4 per cent respectively.  Frequency 
of collection was as follows: daily (45.7%), twice a week (14.9%), weekly 
(39.4%). Recycling of MSW by the private sector (47.2%), municipality 
(14.6%), and a combination of both accounted for 38.2 per cent. Management 
of final disposal sites by private sector (11.7%), municipalities (44.6%) 
and co-managed sites (43.5%). Lack of technical capacity to develop and 
implement policies by municipalities was 33 per cent while lack of financial 
resources for the waste management sector (39%). The results of the study 
indicate a growing and rooted challenge in the governance of MSW in Zambia. 
Therefore, governance mechanisms must be based on robust and effective 
frameworks that will ensure effective service delivery by local authorities 
with the involvement of all stakeholders, gender and social inclusion and also 
effective development and application of policies, technology and financial 
resources. This will result into sustainable waste management service to 
protect public health and the environment and ultimately implement a circular 
economy model."
View of Editorial Comment,Unclassified,https://journals.unza.zm/index.php/JLSS/article/view/1161/868,https://journals.unza.zm/index.php/JLSS/article/download/1161/868,Abstract not found
View of Cross-Country Document Analysis of Play-Based Learning in Early Childhood Education in Zambia and Beyond,Unclassified,https://journals.unza.zm/index.php/JLSS/article/view/1162/867,https://journals.unza.zm/index.php/JLSS/article/download/1162/867,"Abstract
This research examined the incorporation of play-based learning in Early 
Childhood Education (ECE) policies across Zambia and twenty other 
diverse countries. Through document analysis, it uncovers commonalities 
and disparities in play-based learning principles. While both Zambian 
and global documents emphasise the significance of play in child 
development, they differ in scope, regional practices, and emphasis on 
global advocacy and cultural variations. Zambia’s documents highlight 
specific practices, while global perspectives offer a broader international 
view. Both stress the multifaceted benefits of play in physical, cognitive, 
social, and emotional growth. In summary, the findings underscored a 
global consensus on the significance of play-based learning in early 
childhood education, emphasising its role in holistic child development. 
Additionally, they highlighted the imperative of recognising cultural 
diversity and aligning policies with child rights, particularly in the 
Zambian context. Furthermore, the recommendations were aimed at 
bolstering the effectiveness of play-based pedagogies in early childhood 
education. They advocated for celebrating diversity, fostering holistic 
development, and ensuring the availability of appropriate resources and 
guidelines to support this approach. These recommendations ultimately 
seek to enhance the quality of early childhood education in Zambia 
by embracing cultural diversity, promoting global collaboration, and 
aligning play-based pedagogies with local and international best 
practices."
View of Exploring Early Childhood Education Teachers' Play-Based Learning Pedagogical Practices in Zambia,Unclassified,https://journals.unza.zm/index.php/JLSS/article/view/1163/866,https://journals.unza.zm/index.php/JLSS/article/download/1163/866,"Abstract
Although learning takes place throughout life, that which occurs 
during childhood will never be equaled (UNICEF, 2018). Play 
is a legitimate right in early childhood (Smith, 2013) and 
one of the most natural pathways to exploration and learning 
(Saskatchewan, 2018). However, although play is a legitimate 
right way of learning in Zambia (MOGE 2013), in practice 
its implementation varies from school to school (Lungu, 
2023).  This study explored the play-based pedagogies related 
to play-based learning of ECE teachers in Zambia and their 
preparedness to use play as a teaching technique. The study 
employed a concurrent or convergent parallel mixed-method 
design. A total of 30 ECE teachers across three districts of 
Zambia participated in this study. One-to-one interviews were 
used to collect qualitative data, while structured questionnaires 
were used to collect quantitative data for the study. Statistical 
Package for the Social Sciences (SPSS)  version 25 was used 
to generate descriptive statistics while qualitative data was 
analysed using content analysis. The findings revealed that a 
considerable portion (83%) of ECE teachers perceived their 
training as sufficient for teaching using play-based pedagogies, 
but a notable minority expressed the need for more effective 
training and support in this regard. Further, the findings 
revealed that PBL was widely incorporated in ECE in Zambia. 
Among the commonly employed PBL pedagogical practices, 
teachers consistently incorporated elements such as games, 
role plays and dramatic play, storytelling, outdoor activities, 
individual work, pair work, group work, demonstrations, as 
well as rhymes and songs. However, the study noted a concern 
about the connectedness of play activity with the content of the 
day. It was observed that there was no connectedness between 
play activities and the content of the day. In addition, learning 
was not captivating enough as teachers were not so creative 
in using play as a vehicle to deliver curriculum content to 
the learners. These findings have crucial implications for the 
enhancement of ECE in Zambia. They underscore the value of"
View of Exploring School Readiness and Transition Dynamics: Enablers and Disablers in Early Childhood Education Programmes of Zambia,Unclassified,https://journals.unza.zm/index.php/JLSS/article/view/1164/865,https://journals.unza.zm/index.php/JLSS/article/download/1164/865,"Abstract 
This qualitative study investigated the complex issues and 
dynamics associated with the transitions in early childhood 
education (ECE) within Kabwe, Kapiri, and Choma districts 
of Zambia. Utilising an exploratory methodology, the research 
thoroughly explored the various factors that impacted school 
preparedness and the progression from early childhood 
education to primary schools. Diverse perspectives from 
parents, educators, community leaders, and legislators 
were examined through in-depth interviews, focus groups, 
and participant observations. The results of this study shed 
light on several significant factors such as limited parental 
involvement arising from knowledge gaps and financial 
constraints, digital inequality affecting children’s adaptability, 
and the absence of well-structured transition programmes 
leading to mismatches in instructional approaches. Thematic 
analysis reveals nuanced insights, emphasising the crucial 
role of digital inclusion initiatives, programmes promoting 
parental engagement, and collaborative efforts between ECE 
institutions and primary schools."
View of A Systematic Review of Early Childhood Education and Primary School Readiness for Transition Through Play-Based Pedagogies,Unclassified,https://journals.unza.zm/index.php/JLSS/article/view/1165/864,https://journals.unza.zm/index.php/JLSS/article/download/1165/864,"Abstract 
This systematic review is based on studies that explored 
school readiness and transition through play-based pedagogies 
in Early Childhood and Primary Education. Relevant literature 
involved global literature whose search was conducted by 
independent researchers following the keyword string, which 
included among others, stakeholders’ roles in school readiness, 
transition, and play-based pedagogies. The literature search 
was done from May to August 2022 following the Preferred 
Reporting Item for Systematic Review and Meta-Analysis 
Protocols (PRISMA). Twenty peer-reviewed studies were 
identified, appraised, and included in the review. Findings from 
international literature showed that teachers’ implementation 
of play-based pedagogy revealed a significant and positive 
relationship to all domains of children’s holistic development. 
Learner assessment for school readiness and transitioning 
from pre-primary to primary through play-based pedagogies 
included academic, social, and personal learning during 
periods of play. The types of play-based assessments for school 
readiness identified included: (1) withdrawal assessment, 
(2) observational assessment, (3) embedded assessment, (4) 
teacher questioning/interview, (5) Photographs/videos and 
(6) documentation walls. While literature showed a positive 
connection between parental involvement and a child’s 
readiness for school including successful transition from 
preprimary to primary school, there was limited evidence 
pointing specifically to the influence of parental involvement 
in play-based pedagogies for school transitioning."
View of Stakeholder Perspectives of Pbl and Their Involvement in the Implementation of Play Pedagogy in Selected Schools Offering ECE in Southern and Central Zambia,Unclassified,https://journals.unza.zm/index.php/JLSS/article/view/1166/863,https://journals.unza.zm/index.php/JLSS/article/download/1166/863,"Abstract
While several studies have been done on parental involvement 
in early childhood education, gaps still exists relating to 
the conceptualisation of play and play-based learning in 
different contexts.  The various perceptions of play and play-
based learning have a strong influence on their involvement 
in play-based learning activities involving children in Early 
Childhood Education. Using a qualitative approach, framed 
within the interpretive research paradigm, this study revealed 
a disjuncture between the positive perception held by the 
stakeholders on play and PBL to the reality of play-based 
learning in the ECE schools. The researchers asked three 
questions: 1. What are the perceptions of parents, community, 
and school administrators (teachers and administrators) 
regarding play and play-based learning? 2. How do these 
stakeholders get involved in PBL? 3. And what factors 
influence their involvement? The researchers collected 
data through key informant interviews (KII), focus group 
discussions and classroom observations. The study established 
that the involvement in PBL varied among stakeholders. 
For parents and community members their involvement was 
often based on solicitation by the school administrators and 
external development agencies - as opposed to volunteering 
postulated by Epstein’s theory of parental involvement 
employed in the study. Among the factors that influenced their 
participation was a general lack of a clear understanding of 
PBL and their role and functions in PBL and ECE in general.  
Thus, the study recommends capacity building in PBL for 
parents, community members and school administrators."
"View of Higher Education, Femininity and Fertility: Exploring Lived Experiences of Educated Women in Mazabuka, Zambia",Unclassified,https://journals.unza.zm/index.php/JLSS/article/view/1124/839,https://journals.unza.zm/index.php/JLSS/article/download/1124/839,"Abstract 
This study investigated the experiences of women with higher education 
on fertility rate in Mazabuka district, Zambia. It is based on contraceptive 
practice and reproduction, transcendence of cultural beliefs and practices 
that suppress women on fertility control. The study invoked the theory of 
demand and supply promulgated by Gary and Becker. The interpretive 
phenomenological research design was utilised.  A sample of fifteen educated 
women, possessing a minimum of master’s degree, were purposively sampled. 
Data was collected through face-to-face interviews was analysed, using 
Inductive Phenomenological Analysis (IPA) thematic analysis. The findings 
of the research among others, revealed that the years of schooling had affected 
educated women’s fertility because they postponed marriage and child bearing 
due to schooling. The study also found that years of schooling had promoted, 
empowered and given women the independence to an extent that some men 
were intimidated to marry them. The women were also aware of the benefits, 
risks, effectiveness, effects and the correct use of contraceptives. Based on 
the findings, the study recommends, among others, the need for society to be 
sensitised on the social, economic and private benefits of marrying and having 
children with an educated woman."
View of The Roles and Challenges of Policewomen in the Zambia Police 1966–1995,Unclassified,https://journals.unza.zm/index.php/JLSS/article/view/1125/843,https://journals.unza.zm/index.php/JLSS/article/download/1125/843,"Abstract
This study examines the roles and challenges of women in male dominated 
institutions focusing on the case of Zambia Police from 1966 to 1995. Primary 
and secondary sources were consulted. Primary sources used included oral 
interviews, consulting colonial and post-colonial government reports and 
conference papers. The secondary sources include books, dissertations and 
journals. The study argues that Zambia Police Service formerly known 
as Northern Rhodesia Police was formed in 1932 and at inception it only 
comprised men with no intentions of considering the inclusion of female 
Police officers. In 1947, the Force started employing clerks and African 
civilians that included twelve women. The female clerks and wives of the 
senior police officers helped the Force to search, guard and escort female and 
juvenile offenders to their convenience rooms. The study further reveals that 
it was very important for the Force to consider the recruitment and training 
of female police officers and equip them with police skills as a pilot project.  
European women were first engaged and trained as police officers in 1955 and 
the African first females during 1958. The roles of these policewomen were 
mainly confined to clerical and administrative work. In 1966, two years after 
independence, the Force started recruitment and training of policewomen on 
a permanent basis. Policewomen found it difficult to adapt to the work culture 
of men towards them because they were discriminated against in many ways. 
The policewomen were faced with a number of challenges and barriers that 
hindered their advancement in the police. The study concluded that from 1966 
to 1995, policewomen contributed to maintenance of law and order in the 
country. Despite the challenges they faced they were able to gain recognition, 
acceptance and promotion to higher ranks."
View of An Epistemic Survey of African (Igbo) Notions of Knowledge in Chinua Achebe’s Things Fall Apart,Unclassified,https://journals.unza.zm/index.php/JLSS/article/view/1086/840,https://journals.unza.zm/index.php/JLSS/article/download/1086/840,"Abstract
This study undertakes an epistemic survey of the notions of knowledge among 
Igbos of Nigeria as couched in Chinua Achebe’s Things Fall Apart. In this 
work, Achebe relives the vibrant world of Igbo people before the advent of 
colonialists in Nigeria. Therefore, the study unveils the roles and significance 
of knowledge among the Igbos, the beauty and depth of the people’s values 
system as enshrined in their culture and traditions. It also exposes the place of 
elders and oral tradition as both purveyors and repository of knowledge hence, 
their relevance in Igbo knowledge acquisition process. The work showcases 
that life among the Igbos was chiefly communal. Knowledge in this society, 
was acquired through collective experience and wisdom by individual persons’ 
participation in the community’s rituals, myths and folklores. However, the 
researcher adopted the hermeneutical and textual analysis methods of inquiry, 
which enabled the researcher to interpret and analyse the Novel, Things Fall 
Apart. In line with our hermeneutical method, we clarified the meaning of 
Omenani (traditions) of the people and its’ influence on the epistemology of 
the people. This study found that any strongly held beliefs or cultural values, 
which bring only crises when people of different cultures interact, necessitates 
the need for the cultivation of proper epistemological modesty instead of a 
tenacious attachment to customs and traditions. Lastly, our study recommends 
a relevant epistemic change as panacea to cultural and social rifts. This 
more balanced knowledge system being recommended has the capacity of 
engendering inter-cultural interactions and ensuring social harmony even 
in the face of the challenges of cultural globalisation. This novel problem-
solving system is located in the idea of epistemic inter-culturalism."
View of An Examination of Consumerism and the Role of Technology in Don DeLillo’s White Noise and Cosmopolis,Unclassified,https://journals.unza.zm/index.php/JLSS/article/view/1126/842,https://journals.unza.zm/index.php/JLSS/article/download/1126/842,"Abstract
Human society has entered an era marked by myriad phenomena collectively 
labeled ‘modernisation’. Over the past 100 years, scientific breakthroughs 
and technological innovations have radically changed the human experience. 
Almost everything we touch or use in our homes, our garages, our offices is the 
by-product of an intense and complex industrial system: our consumption of 
goods is notably a function of our culture. We are surrounded by a manufactured 
world. Like most phenomena, the critical reality lies not in the general 
characteristics of modernisation, but in the particular and unique conditions of 
people’s lives, and the effects of modernisation in the places where we live: in 
our homes, our communities, our natural and cultural environments. Two texts 
which are concerned with an exploration of the complexities of modernisation, 
particularly technology and the resultant consumerist culture, are Don DeLillo’s 
White Noise and Cosmopolis. The purpose of this study was to examine the 
relationship that exists between consumerism and technology in the two texts. 
This investigation used historical, philosophical and psychological theories. 
From a historical perspective, the study focused on contextual approaches, 
which looked at the historical development of technologies in relation to their 
social context. Employing postmodern theories, the characters’ motivations 
to buy and consume products in both texts were discussed. In essence, it 
was noted that consumerism physically and mentally affects consumers. 
On the physical level, people living in the consumerist society cannot avoid 
its tentacles because there are too many outside forces keeping them in the 
system. Technology has become as much a part of the texture of daily life as 
humans are themselves. In fact, the two seem inextricable. In both White Noise 
and Cosmopolis, the pervasive presence of technology proves both menacing 
and comforting—toxic threats abound, while concurrently the characters are 
bombarded with advertised information and promises of immortality through 
scientific advancements. Thus, consumers relentlessly buy products and feel 
that the products they buy determine their identity.
Key Words: 	Consumerism, technology, modernisation and modernity, postmodernity, 
white noise"
View of The Use of Allusion in Tonga Work Songs: Its Social and Economic  Implication,Sociology,https://journals.unza.zm/index.php/JLSS/article/view/919/841,https://journals.unza.zm/index.php/JLSS/article/download/919/841,"Abstract 
This article sets out to examine the use of allusion in selected Tonga work 
songs. Whereas there is extensive and impressive documentation about the 
Tonga people and their culture, their history, and even their literature, by 
authors like Elizabeth Colson, there is hardly any documentation on the use of 
allusion and its social implications in Tonga work songs. Therefore, this study 
gives utter attention to one poetic element – the allusion, in the Tonga work 
songs and argues that allusion reflects the Tonga people’s social and economic 
activities through work songs. The study mainly used the qualitative method 
to collect data from respondents. This article is a brain child of research work 
which was conducted in two ways namely, through desk research and field 
research in three districts of Southern Province in Zambia. A total of 35 work 
songs were collected through interview guide, questionnaires, and Focus 
Group Discussions. The study revealed that Tonga work songs help lighten 
the work, comment on perpetual unpalatable social tendencies, communicate 
values of hard work, social cohesion, and objectives and share memories of the 
past other than culture transmission to the young generation. The study also 
revealed that Tonga Work songs are rich in Poetic elements such as allusion 
that inculcate a sense of self-responsibility among others. The study further 
reveals that allusion in Tonga work songs reflects Tonga people’s past and 
their agricultural inclination, a reflection of Tonga’s main economic activity. 
What comes out of this study also is that there are hardly any allusions to 
Tonga’s paramountcy of chiefs like in other tribes in southern Africa."
View of Book Review: The Lucky Man Bar,Unclassified,https://journals.unza.zm/index.php/JLSS/article/view/1009/767,https://journals.unza.zm/index.php/JLSS/article/download/1009/767,Abstract not found
View of A Socio-Semantic Etymological Analysis of Selected Nicknames Within the Zambian Senga Social and Cultural Onomastics Cosmology,Sociology,https://journals.unza.zm/index.php/JLSS/article/view/1010/768,https://journals.unza.zm/index.php/JLSS/article/download/1010/768,"ABSTRACT 
This study examined the social-semantic meaning of selected Zambian Senga 
nicknames within the Senga social and cultural milieu. It unveiled the social-
semantic significance of selected Senga nicknames in relation to their social 
and cultural setting. It also established the etymology of the names as well as 
the social cultural significance of meanings expressed in the nicknames. This 
study adopted a qualitative approach. A purposive sampling technique was 
employed through which fourteen persons, who were considered sufficiently 
knowledgeable in the Senga language, provided an accurate explanation of 
the data. The participants were drawn from Chama District of the Eastern 
Province of Zambia. Data was collected through an interview guide, which 
was administered to the selected research participants. Data was analysed 
using Social Semiotic Theory. In line with social semiotics, nicknames express 
both connotative and denotative meanings. In addition, Senga nicknames 
have social and cultural significance in that they warn witches, discourage 
selfishness, provide wisdom, encourage, demonstrate endurance, reprimand, 
teach self-reliance, show ownership, discourage laziness, expose promiscuous 
behaviour, hard work and traditional beliefs. Lastly, it is recommended that 
other aspects of Senga anthroponyms may be researched on. These might 
include personal names, their etymology and semantic value."
